# ./multi_result/hh_3.txt
# dt = 25 [usec]
# t [usec], V [mV]
4850, -64.948628, -64.948628, -64.948628, -64.948628
4870, -64.948715, -64.948715, -64.948715, -64.948715
4900, -64.948805, -64.948805, -64.948805, -64.948805
4920, -64.948896, -64.948896, -64.948896, -64.948896
4950, -64.948989, -64.948989, -64.948989, -64.948989
4970, -64.949085, -64.949085, -64.949085, -64.949085
5000, -64.949182, -64.949182, -64.949182, -64.949182
5020, -64.949281, -64.949281, -64.949281, -64.949281
5050, -64.949382, -64.949382, -64.949382, -64.949382
5070, -64.949484, -64.949484, -64.949484, -64.949484
5100, -64.949589, -64.949589, -64.949589, -64.949589
5120, -64.949695, -64.949695, -64.949695, -64.949695
5150, -64.949803, -64.949803, -64.949803, -64.949803
5170, -64.949912, -64.949912, -64.949912, -64.949912
5200, -64.950024, -64.950024, -64.950024, -64.950024
5220, -64.950137, -64.950137, -64.950137, -64.950137
5250, -64.950251, -64.950251, -64.950251, -64.950251
5270, -64.950367, -64.950367, -64.950367, -64.950367
5300, -64.950485, -64.950485, -64.950485, -64.950485
5320, -64.950604, -64.950604, -64.950604, -64.950604
5350, -64.950725, -64.950725, -64.950725, -64.950725
5370, -64.950847, -64.950847, -64.950847, -64.950847
5400, -64.950970, -64.950970, -64.950970, -64.950970
5420, -64.951095, -64.951095, -64.951095, -64.951095
5450, -64.951222, -64.951222, -64.951222, -64.951222
5470, -64.951350, -64.951350, -64.951350, -64.951350
5500, -64.951479, -64.951479, -64.951479, -64.951479
5520, -64.951609, -64.951609, -64.951609, -64.951609
5550, -64.951741, -64.951741, -64.951741, -64.951741
5570, -64.951874, -64.951874, -64.951874, -64.951874
5600, -64.952008, -64.952008, -64.952008, -64.952008
5620, -64.952143, -64.952143, -64.952143, -64.952143
5650, -64.952280, -64.952280, -64.952280, -64.952280
5670, -64.952417, -64.952417, -64.952417, -64.952417
5700, -64.952556, -64.952556, -64.952556, -64.952556
5720, -64.952696, -64.952696, -64.952696, -64.952696
5750, -64.952837, -64.952837, -64.952837, -64.952837
5770, -64.952979, -64.952979, -64.952979, -64.952979
5800, -64.953122, -64.953122, -64.953122, -64.953122
5820, -64.953265, -64.953265, -64.953265, -64.953265
5850, -64.953410, -64.953410, -64.953410, -64.953410
5870, -64.953556, -64.953556, -64.953556, -64.953556
5900, -64.953703, -64.953703, -64.953703, -64.953703
5920, -64.953851, -64.953851, -64.953851, -64.953851
5950, -64.953999, -64.953999, -64.953999, -64.953999
5970, -64.954148, -64.954148, -64.954148, -64.954148
6000, -64.954298, -64.954298, -64.954298, -64.954298
6020, -64.954449, -64.954449, -64.954449, -64.954449
6050, -64.954601, -64.954601, -64.954601, -64.954601
